Startup	A young company designed to grow quickly.
SPAC	Special Purpose Acquisition Company. A company that raises money through an IPO for the sole purpose of acquiring a private startup. It provides an alternative path for startups to go public.
Scenester	Someone who’s active in the startup scene, but isn't involved in any particular startups. They enjoy attending startup-related events and networking but aren't interested in joining or investing in a startup.
VC Partner	A member of a venture capital firm. They lead investments, make funding decisions, and often take board seats in the startups they invest in.
"Cracked" Engineer	A highly talented engineer who can solve tough problems quickly and cleanly.
Roadmap	A plan that outlines a startup's upcoming product features, goals and milestones.
Founder mode	When a founder deeply involves themselves at all levels of the company, not just through management or fundraising.
Flat Organization	A company structure with few or no management layers. It allows for faster decisions and direct communication, but sometimes less clarity on roles.
Scaleup	A company that has moved past the startup stage and is now focused on rapid growth. It already has product–market fit and is scaling revenue, customers, and operations.
Early stage startup	A startup that is still focusing on building its early product and forming a founding team
Late stage startup	A startup that has proven its business model, has grown its team and is now a large organization
Vertical	A specific industry or market a startup focuses on.
Founder-led sales	When the founder personally sells the product in the early days.
Outbound	A sales approach where the startup actively reaches out to potential customers. Common methods include cold emails, cold calls, and targeted outreach.
Inbound	A sales and marketing approach where customers come to the startup.
Cargo culting	When a startup attempts to copy the practices of popular, succesful startups, without substance. An example may be not charging money to your initial users because X successful company did that.
To grok something	To deeply understand something at an intuitive level. In startups, it means fully grasping a problem, product, or user need.
Founding engineer	An engineer hired at the early stage of a startup who is not technically a co-founder.
MVP	Minimum Viable Product. The simplest version of a product that can be released. It’s built to test an idea quickly, get feedback, and learn from users.
Pitch competition	An event where startups present their ideas to judges or investors. The goal is to win prizes, funding, or exposure.
Liquidity event	When founders and investors can turn their equity into cash. Common examples are an IPO or an acquisition.
Bespoke	A product or service that is custom-made for a specific customer.
Platform risk	The danger of building a startup on top of another company’s platform. E.g., the risk that Apple may remove your app from their app store.
Pre-revenue	A stage where a startup hasn’t started making money yet. It’s usually focused on building the product and finding customers.
Bias for action	A mindset of moving quickly and making decisions fast with limited information.
Tarpit idea	An attractive and plausible-seeming startup idea that is, in practice hard to execute and will likely lead to failure.
Wedge	A narrow and simple initial product offering by a startup that allows it to enter a new market. E.g., Facebook was originally just for students at Harvard.
Intrapreneur	An employee who follows entrepreneurial practices within an existing company.
YC	Y Combinator. A famous startup accelerator.
Market timing	Launching a startup when the conditions are best for its success. E.g., launching remote-work software at the beginning of a pandemic.
Agile	A software development methodology.
Sprint	A short, focused work cycle usually lasting 1-2 weeks where a team focuses on buidling a particular feature, etc.
Social proof	Evidence that others trust a startup. Examples are usually publicly displaying the company logos of your customers, including customer testimonials or listing your investors on your website.
TC	Total compensation. The full pay an employee gets from a startup, including salary, equity, benefits, etc.
Rest and vest	When an employee stays at a startup mainly to let their stock options finish vesting. They do minimal work while waiting to collect their equity.
Fast follower	A startup that quickly copies a competitor’s idea and attempts to catch up and eventually surpass them.
Venture Studio	An organization that creates startups. It provides ideas, funding, and resources, then builds teams to run the new companies.
Indie hacker	A founder who builds and runs an online business independently, usually bootstrapped.
Value-Add Investor	An investor who helps beyond just giving money. They provide support like mentorship, connections, recruiting, or strategy to help the startup grow.
